Fund_Name,choc_mort,choc_long,choc_lup,choc_ldw,choc_lmass,choc_cat,choc_mort_mgr,choc_long_mgr,choc_lup_mgr,choc_ldw_mgr,choc_lmass_mgr,choc_cat_mgr
LXCLA,47635.036704355916,294186.8903056558,6531.685541078349,510844.7606373709,246836.68719173872,501.5798834777006,48783.477095402166,294186.8903109582,11914.304918084097,510844.80280589557,427660.3303855403,513.370736514294
LXCLAWOPB,63436.67859665442,8901.33822519858,13144.165950159564,58886.67835192605,232913.11717745126,1221.2572172674252,63436.67859665442,8901.33822519858,13144.165950159564,58886.67835192605,232913.11717745126,1221.2572172674252
