Fund_Name,choc_mort,choc_long,choc_lup,choc_ldw,choc_lmass,choc_cat,choc_mort_mgr,choc_long_mgr,choc_lup_mgr,choc_ldw_mgr,choc_lmass_mgr,choc_cat_mgr
AZFR,1038903.8272059954,32777.324120399746,29117329.43527723,2097158.393059464,41913872.5665062,59809.48477338875,0.0,0.0,0.0,0.0,0.0,0.0
CDFIN,706.5147874962619,50668.791972863706,34613.760081861954,4334304.179765269,18866.924185047257,82.29881676936782,2030.6802658038862,50668.791972863706,150783.41882812223,4334304.179765269,217178.39845161367,895.8153705294916
LXEUR,2926.4688489868677,121242.17805637697,50751.19454272097,2899609.1196489614,35377.218312771074,110.307902148008,6584.9160709797925,121242.17805637697,128939.417970622,2899609.1196489614,112284.16810855202,333.11006964794433
NEMIAN,95480.1755649721,31107.544461808935,1369036.2470653944,1535563.1298003641,1160617.3306716057,11305.435568793811,0.0,0.0,0.0,0.0,0.0,0.0
UL,1852280.025153621,552686.5005851204,22022299.952707674,22434093.667593345,37421555.297410265,123014.78489378601,0.0,0.0,0.0,0.0,0.0,0.0
